Cereal.Name,Manufacturer,Serving.Size,Calories
All-Bran Buds,Kellogg's,30,80
All-Bran Original,Kellogg's,31,80
Alpha-Bits,Post,36,140
Apple Jacks,Kellogg's,29,110
Basic 4,General Mills,55,200
Blueberry Chex,General Mills,30,130
Boo Berry,General Mills,33,130
Bran Flakes,Post,36,110
Cap'n Crunch,Quaker,27,110
Cheerios,General Mills,28,100
Cheerios Oat Crunch,General Mills,51,200
Chips Ahoy Cereal,Post,29,120
Chocolate Chex,General Mills,32,130
Chocolate Frosted Flakes,Kellogg's,29,110
Cinnamon Chex,General Mills,30,120
Cinnamon Frosted Flakes,Kellogg's,29,110
Cinnamon Toast Crunch,General Mills,31,130
Cocoa Krispies,Kellogg's,31,120
Cocoa Pebbles,Post,29,120
Cocoa Puffs,General Mills,27,100
Cookie Crisp,General Mills,36,140
Corn Chex,General Mills,31,120
Corn Flakes,Kellogg's,28,100
Corn Pops,Kellogg's,40,150
Count Chocula,General Mills,27,100
Cracklin' Oat Bran,Kellogg's,56,230
Crispix,Kellogg's,39,150
Crunch Berries,Quaker,26,100
Fiber One,General Mills,30,60
Franken Berry,General Mills,33,130
French Toast Crunch,General Mills,28,110
Froot Loops,Kellogg's,29,110
Frosted Flakes,Kellogg's,29,110
Frosted Mini-Wheats Blueberry,Kellogg's,60,210
Frosted Mini-Wheats Little Bites Chocolate,Kellogg's,56,200
Frosted Mini-Wheats Little Bites Original,Kellogg's,56,190
Frosted Mini-Wheats Original,Kellogg's,60,210
Frosted Mini-Wheats Strawberry,Kellogg's,60,210
Fruity Pebbles,Post,27,110
Golden Crisp,Post,29,110
Golden Grahams,General Mills,30,110
Golden Oreo O's,Post,29,120
Grape-Nuts,Post,58,200
Grape-Nuts Flakes,Post,43,150
Great Grains Cranberry Almond Crunch,Post,56,210
Honey Bunches of Oats,Post,30,120
Honey Bunches of Oats with Almonds,Post,32,130
Honey Bunches of Oats with Real Strawberries,Post,31,120
Honey Maid S'mores Cereal,Post,30,120
Honey Nut Cheerios,General Mills,28,110
Honey Nut Chex,General Mills,32,120
Honey Nut Frosted Flakes,Kellogg's,29,110
Honey Oh!s,Post,40,170
Honey Smacks,Kellogg's,42,160
Honeycomb,Post,32,130
Hostess Donettes Cereal,Post,33,150
Kellogg's Raisin Bran,Kellogg's,59,190
Kix,General Mills,30,110
Krave Chocolate,Kellogg's,53,220
Life Cinnamon,Quaker,32,120
Life Original,Quaker,32,120
Life Strawberry,Quaker,32,120
Life Vanilla,Quaker,32,120
Lucky Charms,General Mills,27,110
Mueslix,Kellogg's,67,250
Multi Grain Cheerios,General Mills,29,110
Nilla Banana Pudding Cereal,Post,32,130
Nutter Butter Cereal,Post,33,150
OOPS! All Berries,Quaker,32,130
Oreo O's,Post,30,120
Peanut Butter Crunch,Quaker,27,110
Post Raisin Bran,Post,61,190
Quaker Oatmeal Squares Brown Sugar,Quaker,56,210
Raisin Bran Crunch,Kellogg's,55,190
Raisin Nut Bran,General Mills,49,180
Real Medleys Cherry Almond Pecan,Quaker,56,240
Reese's Puffs,General Mills,29,120
Rice Chex,General Mills,27,100
Rice Krispies,Kellogg's,33,130
Shredded Wheat Original Big Biscuit,Post,51,170
Shredded Wheat Original Spoon Size,Post,60,210
Smart Start,Kellogg's,64,240
Special K Chocolate Almond,Kellogg's,42,160
Special K Chocolatey Delight,Kellogg's,42,170
Special K Fruit and Yogurt,Kellogg's,42,160
Special K Original,Kellogg's,39,150
Special K Red Berries,Kellogg's,39,140
Special K Vanilla Almond,Kellogg's,40,150
Strawberry Krispies,Kellogg's,32,120
Total,General Mills,30,110
Trix,General Mills,31,120
Vanilla Chex,General Mills,30,120
Wheat Chex,General Mills,47,160
Wheaties,General Mills,27,100
Wild Berry Fruit Loops,Kellogg's,29,110
